ax,ay,az,qw,qx,qy,qz,tau_x,tau_y,tau_n,vE,vN,vD,w_est_x,w_est_y,w_est_z
-0.0482596,0.100157,-9.75997,-0.92735267,-0.011348296,-0.0029233492,-0.37400487,159.939,-9.55712e-05,-91.1448,0.16955253,0.1742779,0.00077447324,0.00264643,-0.00137313,0.00202428
0.0169423,0.00413336,-9.8353,-0.9273345,-0.011389206,-0.0028703616,-0.3740492,159.939,-9.79299e-05,-90.6302,0.16956432,0.17422597,0.0008062683,0.00232105,-0.00137278,0.00190988
0.0267915,-0.0282464,-9.82409,-0.92731607,-0.011427601,-0.0028183602,-0.37409404,159.937,-9.96907e-05,-90.0758,0.16956711,0.1741841,0.00083661993,0.00221461,-0.00137299,0.00187873
-0.0198696,-0.0762454,-9.88939,-0.9272985,-0.011467894,-0.0027655484,-0.3741368,159.938,-0.000101346,-89.5899,0.16957545,0.17414244,0.0008675703,0.00229987,-0.00137245,0.00182814
0.0597614,0.060373,-9.79099,-0.9272811,-0.0115133,-0.00271076,-0.37417904,159.938,-0.000102701,-89.0511,0.16958411,0.17408235,0.000901362,0.00251528,-0.00137103,0.00180972
-0.0327666,0.0102008,-9.78753,-0.92726374,-0.011562097,-0.0026545692,-0.37422088,159.939,-0.000103977,-88.5789,0.16960356,0.17402299,0.00093617494,0.00266344,-0.00137139,0.00179949
-0.0160407,-0.0234829,-9.79164,-0.92724586,-0.011613798,-0.0025972195,-0.37426394,159.941,-0.000104067,-88.1164,0.16964033,0.17396216,0.00097215624,0.00279144,-0.00137046,0.0018182
-0.0495675,-0.0666848,-9.78188,-0.92878616,-0.011025801,-0.0031068204,-0.37043905,159.943,-0.000104159,-87.7111,0.16823618,0.17531003,0.0006125237,-0.030553,0.0117147,-0.164637
0.0116974,0.0362828,-9.83904,-0.92876583,-0.011075698,-0.0030506696,-0.37048894,159.947,-0.000102521,-87.3667,0.16829519,0.17525785,0.00064816553,0.00270236,-0.00136569,0.00212829
0.0790782,0.049208,-9.79433,-0.9287451,-0.011118001,-0.0029976403,-0.37054005,159.951,-0.000100996,-87.065,0.16836008,0.17520559,0.00068175327,0.00237277,-0.00136359,0.00218225
0.0277318,-0.0317062,-9.81346,-0.9287229,-0.011157699,-0.0029456897,-0.37059495,159.955,-9.81286e-05,-86.8199,0.16841473,0.17514782,0.00071506243,0.00226141,-0.00136281,0.00233284
-0.00614104,0.0280773,-9.81497,-0.92870015,-0.011203001,-0.0028914805,-0.37065107,159.96,-9.54495e-05,-86.6053,0.16848718,0.17509381,0.0007500695,0.00250456,-0.00136442,0.00239167
-0.0297675,-0.0182295,-9.81243,-0.928675,-0.0112515995,-0.00283602,-0.370713,159.964,-9.08145e-05,-86.5074,0.16856985,0.17504932,0.00078582135,0.00264495,-0.00136476,0.00263438
0.0755951,-0.0205456,-9.86095,-0.92864865,-0.011300696,-0.002780439,-0.37077788,159.969,-8.64751e-05,-86.4216,0.16865629,0.17501086,0.00082181604,0.00266504,-0.00136406,0.00279192
0.0246675,-0.0296282,-9.83645,-0.9286207,-0.011346197,-0.0027262792,-0.3708469,159.972,-8.001e-05,-86.4937,0.16875786,0.17495245,0.000857498,0.00251592,-0.00136371,0.00292652
0.106855,0.070835,-9.86813,-0.92859024,-0.011394203,-0.0026712108,-0.3709221,159.976,-7.39448e-05,-86.5568,0.16886495,0.17488872,0.0008941318,0.00262112,-0.00136485,0.00322507
0.000464992,-0.109289,-9.82722,-0.92855793,-0.011438199,-0.0026177398,-0.371002,159.977,-6.60096e-05,-86.7916,0.16896114,0.17482285,0.0009293356,0.00245132,-0.00136621,0.00341536
-0.00505314,-0.0610397,-9.84921,-0.928524,-0.0114750005,-0.0025671301,-0.37108603,159.979,-5.85557e-05,-86.997,0.16905655,0.17476872,0.00096093107,0.00214259,-0.00136859,0.00361702
-0.0232093,0.0469175,-9.85741,-0.9284866,-0.011517694,-0.0025142587,-0.37117884,159.978,-5.02693e-05,-87.3281,0.16915825,0.17470984,0.0009944799,0.00239504,-0.0013693,0.00394731
-0.00802354,-0.00837123,-9.8329,-0.92844653,-0.011567594,-0.0024585286,-0.3712778,159.979,-4.24804e-05,-87.6175,0.1692637,0.17465834,0.0010302096,0.00271132,-0.00136954,0.00424669
0.0615727,0.0123494,-9.83127,-0.92840487,-0.011610799,-0.0024055897,-0.37138095,159.973,-3.23723e-05,-88.1606,0.16937001,0.17461011,0.0010635289,0.0024188,-0.00136877,0.0044276
-0.0387922,0.0238401,-9.82735,-0.9283618,-0.011643997,-0.0023566894,-0.37148792,159.97,-2.28583e-05,-88.6349,0.16945824,0.1745832,0.0010926845,0.00199083,-0.00136798,0.00459524
0.0465754,-0.011715,-9.86817,-0.92831874,-0.011670497,-0.0023104893,-0.3715949,159.966,-1.39754e-05,-89.1778,0.16952951,0.17456411,0.0011194865,0.00170148,-0.00136725,0.00459059
-0.00415798,-0.0322991,-9.78389,-0.92827445,-0.011703094,-0.0022618787,-0.3717048,159.964,-5.61658e-06,-89.652,0.16960274,0.17454448,0.0011483948,0.00196265,-0.00136784,0.00469031
0.0243963,0.015894,-9.81032,-0.9282282,-0.011751602,-0.0022069304,-0.37181908,159.961,1.5081e-06,-90.1433,0.16968676,0.17452967,0.0011827864,0.00265041,-0.00136824,0.00490579
-0.0255015,-0.0281484,-9.82632,-0.92818123,-0.011801503,-0.0021514706,-0.3719351,159.961,8.20832e-06,-90.5725,0.16977482,0.17450681,0.0012183038,0.00271114,-0.00136738,0.00499917
0.0302744,0.0350573,-9.81215,-0.928133,-0.0118525,-0.0020956001,-0.372054,159.957,1.52394e-05,-91.1234,0.16985665,0.17448291,0.0012544307,0.00275657,-0.00136747,0.00506937
0.111598,-0.0485129,-9.73585,-0.92945707,-0.011546801,-0.0035952402,-0.36873204,159.956,2.18524e-05,-91.6045,0.16863564,0.17571692,0.00050190126,-0.0345725,0.0525892,-0.142273
-0.0551749,-0.0243265,-9.79602,-0.9294085,-0.011585593,-0.003544428,-0.36885378,159.953,2.79546e-05,-92.1504,0.16869198,0.17570964,0.00053268246,0.00222951,-0.00136674,0.00520038
0.0103478,-0.0149973,-9.77795,-0.92935896,-0.0116187995,-0.0034957998,-0.36897796,159.953,3.36916e-05,-92.6273,0.16873331,0.17570412,0.0005612447,0.00199434,-0.00136766,0.00530516
0.0531843,0.00337166,-9.82924,-0.929309,-0.0116565,-0.0034454,-0.369103,159.953,3.78314e-05,-93.081,0.16875467,0.17569406,0.00059129676,0.0021848,-0.00136901,0.00537779
0.0067588,0.052733,-9.79277,-0.929259,-0.0116993,-0.00339287,-0.369228,159.954,4.1719e-05,-93.4774,0.16877262,0.17567895,0.00062276167,0.00240852,-0.00137116,0.00533597
-0.000524456,0.0576876,-9.81236,-0.92920816,-0.011743702,-0.0033397505,-0.36935505,159.954,4.52891e-05,-93.9275,0.16878949,0.17566623,0.0006542025,0.00247412,-0.00137227,0.00546626
-0.0441774,-0.0024066,-9.83043,-0.9291569,-0.0117887985,-0.0032863396,-0.36948296,159.956,4.86402e-05,-94.3208,0.1688149,0.17566884,0.0006849223,0.00250684,-0.00137197,0.00546131
-0.0561883,0.0350329,-9.83735,-0.92910486,-0.011832198,-0.0032337294,-0.36961293,159.956,5.12691e-05,-94.7337,0.16883107,0.17567329,0.0007154507,0.00243146,-0.0013688,0.00557338
-0.024243,-0.0255106,-9.77417,-0.9290528,-0.011867998,-0.0031841795,-0.36974293,159.958,5.37344e-05,-95.0945,0.16884299,0.17567214,0.0007438772,0.00210402,-0.00136684,0.00556315
0.0592097,0.0590944,-9.80314,-0.9290017,-0.011898896,-0.003136559,-0.36987087,159.961,5.46942e-05,-95.4069,0.16885418,0.1756855,0.0007700699,0.00189483,-0.00136631,0.00549405
0.0456504,-0.0273251,-9.83912,-0.9289512,-0.011930402,-0.0030887406,-0.36999708,159.963,5.55907e-05,-95.68,0.16884737,0.17571592,0.0007962414,0.00191747,-0.00136485,0.00539388
0.012501,0.0666465,-9.75019,-0.9289016,-0.011962895,-0.0030404888,-0.37012085,159.967,5.43942e-05,-95.843,0.16883777,0.17574626,0.000823002,0.00196249,-0.0013642,0.00533383
0.027918,-0.0117678,-9.83759,-0.92885125,-0.012008403,-0.002987111,-0.3702461,159.971,5.32724e-05,-95.9856,0.16884345,0.17577454,0.0008544387,0.00251824,-0.00136429,0.00534685
0.0470075,-0.00339262,-9.79394,-0.92880094,-0.0120635,-0.0029298798,-0.37037098,159.974,5.06201e-05,-96.0315,0.16885577,0.17578967,0.00089013815,0.00293556,-0.00136362,0.0053475
-3.61788e-05,-0.0473851,-9.84285,-0.92875135,-0.012114004,-0.002874501,-0.37049413,159.977,4.81318e-05,-96.0716,0.1688813,0.1758033,0.00092416717,0.00273251,-0.00136419,0.00530246
-0.0297134,-0.0406529,-9.74527,-0.92870224,-0.012161003,-0.0028204708,-0.3706161,159.98,4.49521e-05,-96.0569,0.16892995,0.17581433,0.0009570625,0.00258399,-0.00136406,0.00521825
0.0284457,0.00091177,-9.77807,-0.92865366,-0.012204995,-0.0027676588,-0.37073687,159.983,4.19716e-05,-96.0441,0.16897184,0.17582764,0.0009891356,0.00245527,-0.00136289,0.0051815
0.07526,0.0368679,-9.77762,-0.9286057,-0.012247496,-0.002715409,-0.37085587,159.985,3.86382e-05,-95.9912,0.16900456,0.17585105,0.0010205022,0.00239208,-0.00136287,0.00511929
-0.0847662,-0.0785807,-9.78798,-0.92855734,-0.012284105,-0.002665551,-0.37097612,159.987,3.55151e-05,-95.9449,0.16904707,0.17588034,0.0010494234,0.0021332,-0.00136341,0.00515136
0.0382114,0.00559482,-9.8465,-0.92850906,-0.012321201,-0.0026154502,-0.37109601,159.988,3.20044e-05,-95.8508,0.16908514,0.17592494,0.0010781249,0.00216084,-0.00136304,0.00514247
-0.059815,0.00796704,-9.8312,-0.9328972,-0.011254802,-0.0030238808,-0.3599541,159.989,2.87166e-05,-95.7684,0.1648114,0.1800165,0.00062868703,-0.0489999,0.0043718,-0.478673
0.0092536,0.0131528,-9.88355,-0.93285066,-0.011295896,-0.002972809,-0.36007386,159.99,2.51993e-05,-95.6436,0.16483043,0.18006356,0.0006588428,0.00230468,-0.0013625,0.0051329
-0.00514446,-0.00923075,-9.74903,-0.9328031,-0.011344501,-0.0029188003,-0.36019602,159.991,2.19062e-05,-95.5344,0.16485459,0.18009649,0.0006918498,0.0026279,-0.0013645,0.00518792
-0.0178666,0.0280678,-9.78276,-0.93275625,-0.011395403,-0.002863831,-0.3603161,159.992,1.85149e-05,-95.3885,0.1648876,0.18012816,0.00072526094,0.0027263,-0.00136672,0.00512538
0.0372206,-0.0102795,-9.83889,-0.93271106,-0.011440601,-0.0028109902,-0.36043203,159.992,1.53402e-05,-95.2607,0.16492245,0.18016632,0.0007562683,0.00248214,-0.00136748,0.00493924
-0.00981201,0.0110911,-9.84991,-0.9326667,-0.0114830965,-0.0027592091,-0.36054587,159.992,1.20479e-05,-95.0918,0.16496149,0.18019259,0.0007867817,0.00236366,-0.00136717,0.004879
-0.0389982,0.0542561,-9.84791,-0.9326226,-0.011528895,-0.0027060888,-0.36065885,159.993,8.96265e-06,-94.9439,0.16501415,0.18021321,0.0008185789,0.00250918,-0.00136735,0.00482383
0.0209422,0.0751669,-9.77805,-0.9325772,-0.011578502,-0.0026515806,-0.36077508,159.993,6.40274e-06,-94.7999,0.16507316,0.18021452,0.0008525999,0.00267032,-0.00136666,0.00496223
-0.00220233,0.00703823,-9.77894,-0.93253195,-0.0116244,-0.00259851,-0.36089098,159.993,4.00711e-06,-94.6739,0.165134,0.18019928,0.00088585296,0.00250869,-0.00136724,0.0049571
0.0411509,0.0316367,-9.8484,-0.9324858,-0.011671198,-0.0025450396,-0.36100894,159.994,2.83838e-06,-94.6071,0.16520108,0.18017833,0.00091933995,0.00255267,-0.00136858,0.00502873
0.00139894,-0.00233755,-9.80017,-0.93243843,-0.011720005,-0.002490841,-0.36113018,159.995,1.7437e-06,-94.5487,0.1652581,0.18015163,0.0009535452,0.00263621,-0.0013691,0.00516871
0.0111644,-0.0164809,-9.8405,-0.93239087,-0.011764398,-0.0024382896,-0.36125195,159.995,2.60413e-06,-94.6185,0.16530576,0.1801172,0.0009862782,0.00245223,-0.00137001,0.00521004
