ax,ay,az,qw,qx,qy,qz,tau_x,tau_y,tau_n,vE,vN,vD,w_est_x,w_est_y,w_est_z
0.000305851,-0.0156488,-9.80938,0.8021793,0.00018226606,-0.00012402705,-0.5970832,100.015,0.000152133,-238.51,-0.14891575,0.045265008,-3.6652233e-07,0.000164023,-2.07791e-05,-0.0904057
-0.000436859,-0.0142853,-9.81088,0.8010976,0.0001845629,-0.00012553493,-0.5985337,100.015,0.000140658,-238.091,-0.1489211,0.044905778,-5.052575e-07,0.000138017,-1.18459e-05,-0.0904748
0.000682434,-0.014179,-9.81067,0.8000128,0.00018718296,-0.00012708097,-0.59998286,100.014,0.000129787,-237.714,-0.14892745,0.04454503,-6.9658324e-07,0.000152112,-3.67103e-06,-0.09051
0.000560403,-0.0154416,-9.80974,0.7989248,0.00018970895,-0.00012867898,-0.60143083,100.014,0.000119702,-237.322,-0.1489338,0.04418251,-8.6279607e-07,0.00014997,-8.592e-06,-0.0905465
0.0001982,-0.0149043,-9.81019,0.7978341,0.00019231201,-0.00013030901,-0.6028771,100.013,0.000110143,-236.97,-0.14894108,0.04381853,-1.0411535e-06,0.000154041,-7.59394e-06,-0.0905593
0.000510668,-0.0145674,-9.80984,0.79674095,0.00019467899,-0.00013183599,-0.60432094,100.013,0.000101082,-236.653,-0.14894937,0.043452848,-1.2032847e-06,0.000141558,-1.06066e-05,-0.0905818
0.000730706,-0.0148245,-9.80947,0.7956446,0.0001968679,-0.00013316792,-0.6057637,100.014,9.08116e-05,-236.085,-0.14895865,0.043085236,-1.3745631e-06,0.000128632,-8.16167e-06,-0.0905911
-4.96614e-05,-0.0158602,-9.80947,0.79454595,0.00019899699,-0.000134668,-0.60720396,100.014,8.10863e-05,-235.575,-0.14896879,0.042716276,-1.4824948e-06,0.000131328,-1.66855e-05,-0.0905789
0.000774793,-0.0147809,-9.80979,0.7933634,0.0002179681,-0.00014830507,-0.6087483,100.015,7.25899e-05,-235.088,-0.1489911,0.042305943,-1.6924724e-06,0.00116906,1.08693e-05,-0.0972436
0.000347243,-0.0165836,-9.81087,0.7922598,0.00022022094,-0.00014961696,-0.61018384,100.014,6.45388e-05,-234.651,-0.14900284,0.041933812,-1.8635252e-06,0.000130663,-7.2888e-06,-0.0905484
-1.24086e-05,-0.0159365,-9.8103,0.79115397,0.00022226298,-0.00015091499,-0.61161697,100.014,5.69069e-05,-234.258,-0.1490146,0.041559216,-1.9917345e-06,0.000121961,-1.31981e-05,-0.0905281
