ax,ay,az,qw,qx,qy,qz,u_prev,v_prev,w_prev,u,v,w
-0.0199813,0.0286511,-9.79405,0.37199897,-0.0010590499,-0.0010708799,0.9282319,0.233463,-0.0114984,7.11389e-07,0.233459,-0.0115033,7.0894e-07
0.00153225,0.00248827,-9.81103,0.3716761,-0.0010617502,-0.0010706102,0.92836124,0.233459,-0.0115033,7.0894e-07,0.233456,-0.0115083,7.05429e-07
0.0239981,0.00939114,-9.80227,0.37135404,-0.0010679502,-0.0010700201,0.9284901,0.233456,-0.0115083,7.05429e-07,0.233452,-0.0115133,7.0095e-07
0.0220563,0.0244214,-9.79392,0.371024,-0.0010644001,-0.0010669801,0.92862207,0.233452,-0.0115133,7.0095e-07,0.233448,-0.0115183,6.9562e-07
-0.0144645,0.0228056,-9.79826,0.37069482,-0.0010574595,-0.0010648895,0.9287535,0.233448,-0.0115183,6.9562e-07,0.233444,-0.0115233,6.89565e-07
-0.000803081,0.0402743,-9.81434,0.37036884,-0.0010533296,-0.0010682795,0.92888355,0.233444,-0.0115233,6.89565e-07,0.23344,-0.0115283,6.82925e-07
-0.000463309,0.0380196,-9.84219,0.370044,-0.00105447,-0.001068,0.929013,0.23344,-0.0115283,6.82925e-07,0.233436,-0.0115333,6.75686e-07
-0.0197543,0.023247,-9.81939,0.3697238,-0.0010532595,-0.0010714794,0.9291405,0.233436,-0.0115333,6.75686e-07,0.233432,-0.0115383,6.67859e-07
0.0119367,0.00847382,-9.81102,0.36939922,-0.0010545907,-0.0010752307,0.92926955,0.233432,-0.0115383,6.67859e-07,0.233429,-0.0115434,6.5944e-07
0.0117572,0.00684884,-9.80109,0.36907014,-0.0010565904,-0.0010732004,0.9294003,0.233429,-0.0115434,6.5944e-07,0.233425,-0.0115485,6.50417e-07
0.014322,0.012554,-9.81025,0.36874598,-0.00105929,-0.00107612,0.92952895,0.233425,-0.0115485,6.50417e-07,0.233421,-0.0115536,6.40784e-07
0.00272254,0.00151217,-9.80106,0.36841887,-0.0010524596,-0.0010801696,0.92965865,0.233421,-0.0115536,6.40784e-07,0.233417,-0.0115588,6.30542e-07
0.011196,0.0112938,-9.84055,0.36809707,-0.0010488601,-0.0010818102,0.92978615,0.233417,-0.0115588,6.30542e-07,0.233414,-0.011564,6.19709e-07
-0.0106083,0.0297959,-9.82259,0.36776692,-0.0010474297,-0.0010857297,0.9299168,0.233414,-0.011564,6.19709e-07,0.23341,-0.0115694,6.08319e-07
-0.0119888,0.0136763,-9.81056,0.36744708,-0.0010479102,-0.0010862203,0.9300432,0.23341,-0.0115694,6.08319e-07,0.233406,-0.0115747,5.96432e-07
-0.0147466,0.0153507,-9.8048,0.36712098,-0.00105128,-0.0010924699,0.93017197,0.233406,-0.0115747,5.96432e-07,0.233403,-0.0115801,5.84124e-07
-0.0141876,0.0116089,-9.78973,0.3667969,-0.0010462297,-0.0010912197,0.9302998,0.233403,-0.0115801,5.84124e-07,0.233399,-0.0115856,5.71484e-07
-0.0106543,-0.00142887,-9.81797,0.36647695,-0.0010477899,-0.0010867598,0.9304259,0.233399,-0.0115856,5.71484e-07,0.233395,-0.0115912,5.58622e-07
0.00189043,0.0183451,-9.84269,0.36615488,-0.0010463697,-0.0010811397,0.9305527,0.233395,-0.0115912,5.58622e-07,0.233392,-0.0115968,5.45667e-07
-0.00456945,0.00514779,-9.81978,0.36582896,-0.0010457599,-0.0010830798,0.9306809,0.233392,-0.0115968,5.45667e-07,0.233388,-0.0116024,5.32758e-07
-0.012291,0.0118338,-9.80815,0.36550593,-0.0010453598,-0.0010785197,0.9308078,0.233388,-0.0116024,5.32758e-07,0.233385,-0.0116082,5.20041e-07
-0.00925202,0.0216189,-9.81683,0.36518198,-0.0010437799,-0.00107922,0.93093497,0.233385,-0.0116082,5.20041e-07,0.233381,-0.0116139,5.0767e-07
-0.00418973,0.0352969,-9.81533,0.3648592,-0.0010412206,-0.0010765606,0.9310615,0.233381,-0.0116139,5.0767e-07,0.233377,-0.0116197,4.95798e-07
0.0161492,0.00621554,-9.79875,0.36453602,-0.0010412801,-0.0010795201,0.93118805,0.233377,-0.0116197,4.95798e-07,0.233374,-0.0116256,4.84573e-07
-0.00154599,0.018246,-9.80265,0.36420903,-0.0010397,-0.00107917,0.931316,0.233374,-0.0116256,4.84573e-07,0.23337,-0.0116315,4.74138e-07
0.0117688,0.013055,-9.80632,0.36387813,-0.0010412504,-0.0010750204,0.93144536,0.23337,-0.0116315,4.74138e-07,0.233367,-0.0116374,4.64624e-07
-0.00235822,0.00807552,-9.83401,0.3635519,-0.0010332797,-0.0010687597,0.93157274,0.233367,-0.0116374,4.64624e-07,0.233363,-0.0116433,4.55937e-07
-0.000390215,0.0170736,-9.79153,0.36322093,-0.0010322798,-0.0010664898,0.93170184,0.233363,-0.0116433,4.55937e-07,0.23336,-0.0116493,4.48088e-07
-0.0209845,0.00630622,-9.81017,0.36289287,-0.0010347397,-0.0010694396,0.9318297,0.23336,-0.0116493,4.48088e-07,0.233356,-0.0116553,4.41061e-07
0.00136616,0.0182014,-9.83801,0.3625672,-0.0010302205,-0.0010715205,0.93195647,0.233356,-0.0116553,4.41061e-07,0.233353,-0.0116614,4.34814e-07
0.00283608,0.015556,-9.82837,0.36223313,-0.0010314303,-0.0010780804,0.93208635,0.233353,-0.0116614,4.34814e-07,0.23335,-0.0116675,4.29295e-07
0.00562884,0.0291611,-9.80925,0.36190996,-0.0010295998,-0.0010725398,0.9322119,0.23335,-0.0116675,4.29295e-07,0.233346,-0.0116737,4.24446e-07
-0.0156401,0.0126298,-9.81726,0.36158413,-0.0010305303,-0.0010751603,0.9323383,0.233346,-0.0116737,4.24446e-07,0.233343,-0.0116799,4.20207e-07
0.00466382,0.00982706,-9.81384,0.36126414,-0.0010340103,-0.0010714204,0.93246233,0.233343,-0.0116799,4.20207e-07,0.23334,-0.0116861,4.16523e-07
