ax,ay,az,qw,qx,qy,qz,vE,vN,vD
0.00692324,-0.00424382,-9.80641,0.9379147,0.0021875293,-0.00031751092,-0.3468589,0.18325408,-0.15592074,-0.00021823414
-0.0167345,0.00429134,-9.81156,0.9379077,0.0021975993,-0.0003183059,-0.34687787,0.18324752,-0.15592845,-0.00021956237
0.013921,0.00216913,-9.81782,0.9379002,0.0021966205,-0.00031343906,-0.34689808,0.18324058,-0.1559366,-0.00022162354
0.0162063,0.0138466,-9.82671,0.93789285,0.0021991997,-0.00031438895,-0.34691796,0.18323375,-0.15594462,-0.00022164403
0.0277541,-0.00772993,-9.81049,0.93788725,0.0021955706,-0.00031774509,-0.3469331,0.18322851,-0.15595078,-0.000219545
-0.00557683,0.0135468,-9.80364,0.9378784,0.002197021,-0.00031445813,-0.34695715,0.18322033,-0.15596038,-0.00022129789
0.00387236,0.000164813,-9.8012,0.93787175,0.0022007595,-0.00031372393,-0.3469749,0.18321426,-0.15596752,-0.00022226862
0.00564909,-0.0142197,-9.79393,0.9378651,0.0022007,-0.00031514902,-0.34699303,0.1832081,-0.15597476,-0.00022163562
-0.0112638,-0.0198154,-9.81115,0.93785775,0.0022021793,-0.0003150559,-0.3470129,0.18320136,-0.15598267,-0.00022194505
-0.00838174,-0.00729773,-9.79011,0.9378518,0.0021989995,-0.00031904594,-0.3470289,0.18319592,-0.15598905,-0.0002196342
0.0141463,0.00303603,-9.79152,0.93784434,0.0022000608,-0.0003179741,-0.34704912,0.18318912,-0.15599704,-0.0002203169
0.00718552,0.0146246,-9.82121,0.9378351,0.0021927303,-0.00031663405,-0.34707403,0.18318076,-0.15600684,-0.00021973744
-0.00352832,-0.0127151,-9.82803,0.937787,0.00218934,-0.00033161,-0.347204,0.18313748,-0.15605767,-0.00021255386
-0.0129588,0.00690686,-9.81067,0.937777,0.00219247,-0.000329162,-0.347231,0.18312848,-0.15606824,-0.00021420806
-0.00215623,-0.000550899,-9.8118,0.9377681,0.0021923303,-0.00033055304,-0.34725505,0.18312049,-0.15607761,-0.00021358267
-0.014254,0.00070617,-9.81499,0.9377629,0.0021974698,-0.00033074597,-0.34726897,0.1831159,-0.15608299,-0.00021436105
0.00751308,-0.0151473,-9.80765,0.9377551,0.0021997404,-0.00033305705,-0.34729004,0.18310897,-0.15609111,-0.00021371503
-0.00441561,-0.0142775,-9.80972,0.93775,0.00220238,-0.00032855797,-0.347304,0.18310447,-0.1560964,-0.00021619895
0.0142866,0.0194096,-9.81866,0.9377425,0.002201721,-0.00032380616,-0.3473242,0.18309793,-0.15610406,-0.00021825763
-0.00085228,-0.00426221,-9.81209,0.9377337,0.0022076992,-0.00032383788,-0.3473479,0.18309028,-0.15611304,-0.00021925755
0.012175,-0.00115501,-9.79894,0.9377289,0.0021993397,-0.00032157396,-0.34736094,0.18308622,-0.1561178,-0.00021890826
0.00328,-0.020634,-9.80452,0.9377233,0.0022009907,-0.00031904908,-0.3473761,0.18308152,-0.15612331,-0.00022033657
-0.0277157,-0.0204718,-9.81404,0.9377151,0.0022011104,-0.00032023204,-0.34739804,0.18307462,-0.1561314,-0.00021984334
-0.0183354,0.000183635,-9.82096,0.93770885,0.0022036596,-0.00032014895,-0.34741494,0.18306945,-0.15613747,-0.00022031862
0.00931504,-0.00443301,-9.77436,0.93770325,0.0022014705,-0.00031782908,-0.34743008,0.18306492,-0.15614279,-0.00022101769
-0.00352668,-0.0136232,-9.79506,0.9376951,0.0022032303,-0.00031928704,-0.34745204,0.18305814,-0.15615074,-0.00022067147
-0.00308659,-0.00937617,-9.82219,0.9376888,0.0022043996,-0.00031668195,-0.34746894,0.18305308,-0.15615669,-0.00022205757
0.00155058,0.00883726,-9.80861,0.9376807,0.0022038594,-0.0003193399,-0.3474909,0.18304633,-0.1561646,-0.0002207882
0.0160555,-0.00183909,-9.78807,0.937674,0.00220894,-0.000320369,-0.347509,0.18304087,-0.156171,-0.00022118169
0.00678799,0.00138059,-9.7926,0.9376662,0.0022098403,-0.00032539805,-0.34753007,0.18303442,-0.15617856,-0.00021907892
-0.00345076,0.00234696,-9.79576,0.93765914,0.0022125803,-0.00032608004,-0.34754905,0.18302865,-0.15618533,-0.00021924275
0.0222284,0.000929681,-9.83508,0.9376521,0.0022092003,-0.00032844904,-0.34756804,0.18302287,-0.15619212,-0.00021763059
-0.00836625,-0.0136118,-9.83169,0.9376435,0.002212681,-0.00032795718,-0.3475912,0.18301566,-0.15620057,-0.00021845258
0.000432821,-0.0163818,-9.79814,0.937638,0.00221626,-0.000330585,-0.347606,0.18301119,-0.1562058,-0.0002178722
0.00496186,0.00662349,-9.82249,0.9376321,0.0022159102,-0.00032836603,-0.34762204,0.18300627,-0.15621157,-0.0002188322
-0.0234467,0.00439488,-9.81707,0.9376247,0.0022164693,-0.0003264799,-0.3476419,0.18300001,-0.1562189,-0.00021979697
0.00819182,0.00360961,-9.82631,0.9376169,0.0022164697,-0.00032528996,-0.34766296,0.18299331,-0.15622677,-0.00022035628
-0.0121906,-0.00881223,-9.80214,0.93761206,0.00221872,-0.000328199,-0.347676,0.1829892,-0.15623158,-0.00021942788
-0.020466,0.00474923,-9.82821,0.9376061,0.0022166204,-0.00032707903,-0.34769204,0.18298404,-0.15623762,-0.00021960244
0.0165837,-0.00260108,-9.79166,0.9375994,0.0022192108,-0.00032268514,-0.34771013,0.18297812,-0.15624455,-0.00022203616
0.00150671,-0.0202855,-9.81775,0.9375936,0.002223519,-0.00032526784,-0.34772584,0.18297295,-0.15625061,-0.00022160035
-0.00378038,-0.00574067,-9.80093,0.93758655,0.0022236889,-0.00032800584,-0.34774482,0.1829666,-0.15625803,-0.0002204126
-0.0243977,-0.00557317,-9.81338,0.9375771,0.0022294803,-0.00033229406,-0.34777007,0.18295813,-0.15626797,-0.00021946388
0.00555231,-0.0089405,-9.80292,0.9375706,0.002229569,-0.00033273685,-0.34778783,0.18295206,-0.15627506,-0.000219299
0.0187118,0.00217373,-9.82194,0.9375623,0.0022317306,-0.0003343211,-0.34781012,0.18294446,-0.15628396,-0.00021896765
-0.00252363,-0.00591836,-9.8128,0.9375527,0.0022302193,-0.0003358889,-0.3478359,0.18293564,-0.15629429,-0.00021803909
0.00833042,0.00251544,-9.82026,0.9375449,0.0022277997,-0.00033614098,-0.34785697,0.1829276,-0.15630215,-0.00021754831
-0.0112575,0.0081759,-9.81942,0.937536,0.00221995,-0.000332381,-0.347881,0.1829193,-0.15631187,-0.00021797395
0.00397088,0.00412196,-9.80994,0.93752897,0.00222149,-0.000331789,-0.34789997,0.18291266,-0.15631963,-0.00021851998
