time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2025-09-22T07:39:34.268Z,0.249802532,0.11767003,-9.45458007,-0.019761292,0.00992548226,0.03868346
2025-09-22T07:39:34.273Z,0.258055694,0.11985658,-9.45844215,-0.0196758607,0.00960574192,0.0383915161
2025-09-22T07:39:34.278Z,0.247303875,0.128787597,-9.44353833,-0.0199253966,0.00938810658,0.0374043759
2025-09-22T07:39:34.283Z,0.244486111,0.133974294,-9.43212895,-0.0193552374,0.00990730536,0.0374598844
2025-09-22T07:39:34.288Z,0.255399002,0.129384127,-9.44358657,-0.0197147013,0.0106545834,0.0381380158
2025-09-22T07:39:34.293Z,0.259963348,0.121506763,-9.45147154,-0.0203413883,0.0109831973,0.0388016234
2025-09-22T07:39:34.298Z,0.252464568,0.124162404,-9.44701011,-0.0201583545,0.0110036854,0.0388433162
2025-09-22T07:39:34.303Z,0.251515652,0.127710613,-9.45424678,-0.0198187506,0.0107601288,0.0383164216
2025-09-22T07:39:34.308Z,0.259513546,0.123016292,-9.46773703,-0.0201302904,0.0098225086,0.0380215112
2025-09-22T07:39:34.313Z,0.255994642,0.120355695,-9.46382159,-0.0200807789,0.00994213312,0.0380673211
2025-09-22T07:39:34.318Z,0.253291469,0.120853793,-9.45822654,-0.0200347021,0.0105174757,0.0384688032
2025-09-22T07:39:34.323Z,0.265524393,0.11699237,-9.46970024,-0.0193228722,0.0104753354,0.0389877293
2025-09-22T07:39:34.328Z,0.274528305,0.119688998,-9.47854049,-0.0190783283,0.00961588104,0.0386358
2025-09-22T07:39:34.333Z,0.267387096,0.128604084,-9.47058828,-0.0187230086,0.00961803449,0.0383300632
2025-09-22T07:39:34.338Z,0.25987468,0.136211026,-9.46560353,-0.0186304282,0.00983968551,0.039111149
2025-09-22T07:39:34.343Z,0.267269512,0.135707628,-9.4735192,-0.0184004682,0.00988279516,0.0391272317
2025-09-22T07:39:34.348Z,0.268286448,0.1379401,-9.47764368,-0.0190937458,0.00987033699,0.0380407431
2025-09-22T07:39:34.353Z,0.26358145,0.137932049,-9.47070888,-0.0195927934,0.00965945393,0.0383769837
2025-09-22T07:39:34.358Z,0.270899103,0.133698219,-9.47214803,-0.0189580436,0.00988941254,0.0386433175
2025-09-22T07:39:34.363Z,0.285262902,0.132410084,-9.48280823,-0.0183760286,0.0100100363,0.0383294551
2025-09-22T07:39:34.368Z,0.289500169,0.135193313,-9.47949871,-0.0182919678,0.0100391182,0.0388017491
2025-09-22T07:39:34.373Z,0.289142713,0.138047497,-9.46653397,-0.0181600942,0.0100448056,0.0389203293
2025-09-22T07:39:34.378Z,0.286123814,0.131157535,-9.47248205,-0.0172029924,0.00995277474,0.0394873322
2025-09-22T07:39:34.413Z,0.277677556,0.135388144,-9.4876183,-0.0167731164,0.00848607507,0.0375697881
2025-09-22T07:39:34.418Z,0.291469356,0.128153026,-9.49886176,-0.0157211729,0.00881555982,0.0374663255
2025-09-22T07:39:34.423Z,0.296284927,0.122962674,-9.50178829,-0.015421446,0.00906847902,0.0382465377
2025-09-22T07:39:34.428Z,0.295727979,0.117484038,-9.5001942,-0.0159571971,0.00845019592,0.0379001529
2025-09-22T07:39:34.433Z,0.29136767,0.114547731,-9.50941964,-0.0161332517,0.00792525271,0.0375943733
2025-09-22T07:39:34.438Z,0.283412441,0.11358157,-9.52634514,-0.0159174058,0.00768038414,0.0369048015
2025-09-22T07:39:34.443Z,0.281537655,0.110169617,-9.5318883,-0.0151889521,0.00849633482,0.0370420369
2025-09-22T07:39:34.448Z,0.282957181,0.108209818,-9.5282294,-0.0150366304,0.00880758628,0.036324905
2025-09-22T07:39:34.453Z,0.290304824,0.100601928,-9.53822887,-0.015210034,0.00820425955,0.0360356021
2025-09-22T07:39:34.458Z,0.291768295,0.0985700431,-9.54757126,-0.0154675157,0.00726704552,0.0366037013
2025-09-22T07:39:34.463Z,0.283489689,0.103505561,-9.53825226,-0.0146812793,0.00668942527,0.0365767779
2025-09-22T07:39:34.468Z,0.285934419,0.104582762,-9.53719757,-0.0141936963,0.00711132129,0.0359112973
2025-09-22T07:39:34.473Z,0.297494364,0.103098575,-9.55329349,-0.0143071745,0.00797673419,0.0356414946
2025-09-22T07:39:34.478Z,0.299556741,0.105558494,-9.55524865,-0.0146004918,0.00795039959,0.0357744873
2025-09-22T07:39:34.483Z,0.298025547,0.109222414,-9.54798495,-0.0140931702,0.00668827181,0.0362634179
2025-09-22T07:39:34.488Z,0.303337742,0.0996495168,-9.55834768,-0.0136595212,0.00642017641,0.0356621654
2025-09-22T07:39:34.493Z,0.313888129,0.0920435969,-9.57050477,-0.0134718978,0.00630167464,0.0349301785
2025-09-22T07:39:34.498Z,0.307979358,0.0964529285,-9.56606527,-0.0139759932,0.00640241777,0.0349949804
2025-09-22T07:39:34.503Z,0.30449508,0.0985298778,-9.56229967,-0.013463314,0.00686001093,0.0343689429
2025-09-22T07:39:34.508Z,0.307722081,0.0919995486,-9.56962623,-0.012724168,0.0072641626,0.0340145097
2025-09-22T07:39:34.513Z,0.304253677,0.0911997706,-9.57455908,-0.0121367298,0.00667287576,0.0342325612
2025-09-22T07:39:34.518Z,0.293841727,0.0924461297,-9.56952682,-0.0120034201,0.00587476687,0.033856081
2025-09-22T07:39:34.523Z,0.296118852,0.0891791978,-9.57000337,-0.0126347866,0.00530316621,0.0333487037
2025-09-22T07:39:34.528Z,0.307587572,0.0847925355,-9.58588076,-0.0131792872,0.00497733669,0.0325683773
2025-09-22T07:39:34.533Z,0.311651615,0.0808393552,-9.59897852,-0.0125296638,0.00513305556,0.0323133411
2025-09-22T07:39:34.538Z,0.303843115,0.0854038151,-9.59577132,-0.0120560765,0.00578573888,0.0329917123
2025-09-22T07:39:34.543Z,0.30775794,0.0798880578,-9.60039208,-0.0120519937,0.00597441865,0.0323119878
2025-09-22T07:39:34.548Z,0.315590309,0.0714712764,-9.62010963,-0.0115816875,0.00646345451,0.0323008444
2025-09-22T07:39:34.553Z,0.313092405,0.0785053169,-9.62341184,-0.0117410127,0.00596547116,0.0321905524
2025-09-22T07:39:34.558Z,0.306604463,0.0811049525,-9.61930856,-0.0112948563,0.00418914886,0.0316851823
2025-09-22T07:39:34.563Z,0.308997916,0.0732688327,-9.63173462,-0.0106309233,0.00430722272,0.0314024345
2025-09-22T07:39:34.568Z,0.315176001,0.0724074476,-9.64366002,-0.0103436767,0.00477402103,0.0302998176
